run_id,condition,rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,phase,block,trial,rewarded,image,unrewarded_left_trials,unrewarded_right_trials,task,correct_shape,response,correct,did_reward,value,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
3,1,2783.1700000097044,"<p>Welcome! Please position your index fingers on the ""A"" and ""L"" keys for this experiment.
        The game will last approximately 10 minutes and is composed of 3 blocks 
        separated by a break.</p><p>Press the spacebar to continue.</p>",32,html-keyboard-response,0,2784,0.0-0.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,3645.4050000174902,"<p>In this experiment you will be presented with either an image with more squares than circles, or an image with 
        more circles than squares. You will see them one at a time.</p>
        <p>Your task will be to decide whether more squares or more circles were presented by pushing the correct button as quickly
        and accurately as possible.</p>
        <p>The ""A"" key will be used to identify more circles and the ""L"" key will be used 
        to identify more squares. Examples of what the images look like are below:</p>
        <p style=""height: 300px;"">
        <img style=""width:250px; float: left;"" src=""7S_10C_yellow1.jpg""></img>
        <img style=""width:250px; float: right;"" src=""7C_10S_yellow3.jpg""></img>
        <span style=""text-align:center; width:250px; clear:both; float: left;"">More circles = A</span>
        <span style=""text-align:center; width:250px; float: right;"">More squares = L</span>
        </p>
        <p>Press the spacebar to continue.</p>",32,html-keyboard-response,1,6434,0.0-0.0-1.0,"""","""","""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,3907.179999980144,"<p>Now, let's take a practice run. You will see a fixation cross, '+', on the screen. You should always focus your
        attention on the fixation cross as this will help you identify the image as quickly and accurately as possible. The fixation
        cross will be followed by an image with more squares or more circles. Remember, if you think there are more circles
        press the ""A"" key. If you think there are more squares press the ""L"" key.</p>
        <p>If you understand these directions and are ready to proceed to the practice round, please press the spacebar.</p>",32,html-keyboard-response,2,10343,0.0-0.0-2.0,"""","""","""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,3,10858,0.0-1.0-0.0-0.0,practice,"""","""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,460.9650000347756,"<img src=""7C_10S_yellow4.jpg"" style=""width:500px;""></img>",65,html-keyboard-response,4,11323,0.0-1.0-0.0-1.0,practice,null,null,null,7C_10S_yellow4.jpg,0,0,respond,squares,circles,false,false,"""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,null,null,audio-keyboard-response,5,12827,0.0-1.0-0.0-2.0,practice,"""","""","""","""","""","""",accuracy-feedback,"""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,"""",null,html-keyboard-response,6,14329,0.0-1.0-0.0-3.0-0.0,practice,"""","""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,7,14840,0.0-1.0-0.0-0.1,practice,"""","""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,895.9950000280514,"<img src=""7S_10C_yellow4.jpg"" style=""width:500px;""></img>",65,html-keyboard-response,8,15739,0.0-1.0-0.0-1.1,practice,null,null,null,7S_10C_yellow4.jpg,0,0,respond,circles,circles,true,false,"""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,reward-coin-drop.mp3,null,audio-keyboard-response,9,17242,0.0-1.0-0.0-2.1,practice,"""","""","""","""","""","""",accuracy-feedback,"""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,"""",null,html-keyboard-response,10,18751,0.0-1.0-0.0-3.1-0.1,practice,"""","""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,11,19267,0.0-1.0-0.0-0.2,practice,"""","""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,776.7799999564886,"<img src=""7C_10S_yellow6.jpg"" style=""width:500px;""></img>",76,html-keyboard-response,12,20046,0.0-1.0-0.0-1.2,practice,null,null,null,7C_10S_yellow6.jpg,0,0,respond,squares,squares,true,false,"""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,reward-coin-drop.mp3,null,audio-keyboard-response,13,21564,0.0-1.0-0.0-2.2,practice,"""","""","""","""","""","""",accuracy-feedback,"""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,"""",null,html-keyboard-response,14,23077,0.0-1.0-0.0-3.2-0.2,practice,"""","""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,"<p class=""fixation"">+</p>",null,html-keyboard-response,15,23588,0.0-1.0-0.0-0.3,practice,"""","""","""","""","""","""","""","""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,1162.7149999840185,"<img src=""7C_10S_yellow5.jpg"" style=""width:500px;""></img>",76,html-keyboard-response,16,24754,0.0-1.0-0.0-1.3,practice,null,null,null,7C_10S_yellow5.jpg,0,0,respond,squares,squares,true,false,"""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
3,1,null,reward-coin-drop.mp3,null,audio-keyboard-response,17,26258,0.0-1.0-0.0-2.3,practice,"""","""","""","""","""","""",accuracy-feedback,"""","""","""","""","""","2020-11-25 19:08:12",96.248.40.73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",WebKit,Chrome,86.0.4240.198,Windows,10.0
